,Conservation Status,Locations,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Color,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Distinctive Feature,Temperament,Training,Type,Litter Size,Predators,Height,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Water Type,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Origin,Favorite Food,Migratory,Optimum pH Level,Special Features,Water type,Optimum PH Level
544,Data Deficient,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,,,,,,,,,,Small forests and grassland,Herbivore,1,Herd,,,,Has evolved over 50 million years!,,BrownBlackWhite,Hair,40 mph,25-30 years,"380-550kg (840-1,200lbs)",,,,,,,Mammal,,"Human, Wolf, Bears",,,,,,"Grass, Fruit, Leaves",,,,,,,Grass,,,,,
545,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Arthropoda,Insecta,Diptera,Tabanidae,,,Mammals,"Maggot, larva",Solitary/Group,"Horseflies have been seen performing Immelmann turns, much like fighter jets.","Millions, and growing",Humans,Its bite,"Tabanus, gadfly, gleg, stout, dunfly, deerfly, buffalofly moosefly, elephantfly, breezefly, Marchfly",Eggs hatch after six days,"A variety of habitats, but not those that are too high, too dry or too cold.",Omnivore,,,Horsefly,,"Everywhere save the North and South poles and some islands, including Hawaii",,Swarms during mating season,GreyBlack,,90 mph,30 to 60 days as an adult,12 milligrams,Between 0.2 and 1.25 inches,Immediately after pupating,,,,,Insect,100 to 1000 eggs,"Parasitic wasps, birds, horse guard wasp",,,,,,,,,,,,,,,,,,
546,Least Concern,"('Asia', 'Central-America', 'Eurasia', 'North-America', 'Ocean')",Animalia,Arthropoda,Malacostraca,Xiphosurida,Limulidae,,,"Worms, algae, small invertebrates, detritus",,Largely solitary,Horseshoe crabs are older than the dinosaurs and outlived them!,2.3 to 4.5 million just on the Atlantic coast,"Pollution, over-harvesting, habitat destruction",Their horseshoe-shaped shell,"helmet crab, horsefoot, saucepan, king crab",Two weeks,"Shallow water off the coast, beaches",Omnivore,"90,000",,Horseshoe Crab,4,Worldwide,Changed little in over 500 million years!,,BrownGreyTanGreen,Shell,,Over 30 years,As much as 9 pounds in the tri-spine horseshoe crab; males of all species smaller,"As long as 31.25 inches in the female tri-spine horseshoe crab, other species are smaller",,,,,,Arthropod,,"Shorebirds who eat the eggs, sea turtles, fish",,,,,,,Salt,,,,,,,,,,,
547,Least Concern,"('Central-America', 'North-America')",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,,,,The house finch can become redder depending on what it eats,20 million ‚Äì 40 million,Predators,Bright red colors,American rosefinch,,"Grasslands, deserts, forests, cities, and suburbs",Herbivore,,,House finch,1,North America,,,BrownRedWhite,,,Up to 11 years,19g ‚Äì 22g,5.5in,,,,,,Bird,,"Raccoons, skunks, snakes, squirrels, rats, chipmunks, and other birds",6in,8in ‚Äì 10in,14 days,,,,,,,Tree branches and other high structures,12 ‚Äì 19 days,,"Grains, seeds, buds, and flowers",1,,,,
548,Least Concern,"('Central-America', 'North-America', 'South-America')",Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,Insects,,,"The wren‚Äôs epithet, aedon, comes from a Greek queen who accidentally killed her only son. She was actually aiming for her nephew, and Zeus took pity on her and turned her into a nightingale.",160 million,climate change,Its song,"O-du-na-mis-sug-ud-da-we-shi, which is Chippewa for ‚ÄúBig noise for its size.‚Äù",,"Woods, backyards, savannas, farms",Carnivore,,,House wren,33,Much of the Western Hemisphere,,,Brown,Feathers,21 mph,Seven years,0.35 and 0.42 ounce,4.3 to 5.1 inches,,,,,,Bird,Four to eight babies,"Cats, rats, opossums, birds of prey, raccoons, squirrels, snakes, woodpeckers",,5.9 inches,12 to 14 days,,,,,,,"Tree cavities, nest boxes, shoes, hats, cans, gourds, holes in walls, scarecrows",15 to 17 days,,,1,,,,
549,Not Listed,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Arthropoda,Insecta,Diptera,Muscidae,Musca,Musca domestica,,Larvea,Solitary,The fly has no teeth,,,Limbs are used to taste food; eyes,,one day,Every- and anywhere,Omnivore,,,fly,109998,,,insecta,GreyBlack,Exoskeleton,5 mph,28 days,Between 0.00007 and 0.0016 ounces,1/8th to 1/4 inches long,,,,,,insect,,"Frogs, spiders, mites, birds",,,,,,,,,,,,,,,,,,
550,Least Concern,"('Central-America', 'South-America')",Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta,,,,,,,,,,Rainforest and dense jungle,Omnivore,1,Troop,,,,Spends 80% of it's time resting!,,BrownBlackTan,Hair,18 mph,15-20 years,3-9kg (6.6-20lbs),,,,,,,Mammal,,"Jaguar, Snakes, Birds",,,,,,"Fruit, Nuts, Seeds",,,,,,,Fruit,,,,,
551,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo Sapiens Sapiens,,,,,,,,,,Worldwide based near rivers,Omnivore,1,Group,,,,"Thought to have orignated 200,000 years ago!",,BrownBlackWhiteTanOlive,Smooth,18 mph,60-80 years,54-83kg (120-183lbs),,,,,,,Mammal,,"Bears, Lion, Tiger",,,,,,"Vegetables, Fruit, Fish",,,,,,,Vegetables,,,,,
552,Vulnerable,"('Ocean', 'South-America')",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,,,,,,,,,Rocky Ocean Islands,Carnivore,2,Colony,,,,Found on the South American coast!,,GreyBlackWhite,Feathers,,15 - 20 years,2kg - 5kg (4.4lbs - 11lbs),,,,Pink base of beak and black and white markings,,,Bird,,"Leopard Seal, Killer Whale, Sharks",60cm - 68cm (24in - 27in),,,,,"Krill, Fish, Shrimp",,,,,,,Krill,,,,,
553,Data Deficient,Ocean,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus,Dosidicus gigas,"Fish, crustaceans, and other cephalopods",,School,The Humboldt squid can change colors to communicate,Unknown,Overfishing,The two fins on the mantle,Jumbo squid,6 - 9 days,Oceans,Carnivore,,,Humboldt Squid,1,,,,RedWhite,Skin,15 mph,A year,Up to 110lbs,"1.2 - 2m (4 - 6.5ft), not including tentacles",,,,,,Cephalopod,,"Whales, billfishes, sharks, and seals",,,,,,,Salt,,,,,,,,,,,
554,Endangered,"('Central-America', 'North-America', 'South-America')",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Trochilinae,,,,,Hummingbird eggs are just half an inch big.,,,,,,Rainforest and tropical jungles,Omnivore,,Solitary,,,,Beat their wings up to 80 times per second!,,BrownGreyRedWhiteTanGreen,Feathers,30 mph,3 - 5 years,2.2g - 20g (0.07oz - 0.7oz),,,,"Long, thin beak and the ability to hover",,,Bird,,"Hawks, Snakes, Lizards",5cm - 20cm (2in - 8in),Three to five inches,15 to 18 days,,2,"Nectar, Tree sap, Insects, Spiders",,,,Sheltered trees or shrubbery and fork of branches,Four months for some species,,Nectar,1,,,,
555,Least Concern,Ocean,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Megaptera,Megaptera novaeangliae,,,Pod,"The humpback whale makes complex, beautiful songs with its throat","120,000 to 150,000",Accidents with boats and nets,The small hump on the back,,11 months,Oceans close to the shore,Omnivore,1,Herd,Humpback whales,,,"There are thought to be 80,000 left in the wild!",,GreyBlackWhite,Smooth,17 mph,45 to 50 years,"36,000-99,800kg (40-100tons)",14.6m - 19m (48ft - 62ft),,,,,,Cetaceans,,"Human, Killer Whale",,,,,,"Plankton, crustaceans, and fish",Salt,,,,,,Krill,,,,,
556,Not Listed,Oceania,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,Huntaways have a strong instinct for herding.,,,,,,,Omnivore,,,,,,,,BlackTan,Hair,,12-14 years,,,,,,,,,5-7 puppies,,,,,,,,,,,,,New Zealand,,,,,,
557,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,"Insects, small mammals, other spiders, small lizards",Spiderlings or hatchlings,Sociable,Some huntsman spiders have an interesting way of moving around. Some cartwheel while others do handsprings or backflips.,At least hundreds of thousands worldwide.,"Humans, geckos, birds, parasites",Its size,"Wood spider, rain spider, lizard eating spider, giant crab spider",,Warmer areas of the world,Carnivore,,,Huntsman spider,1382,"Oceania, North, South and Central America, Asia, Africa, north and central Europe and the Mediterranean.",,,BrownGreyWhiteGreen,Hair,,2.5 years,0.024 ounces to 0.37 pounds,"0.71 inches with a 5.9 inch leg span, though some species are much larger",About one year,,,,,Arachnid,100 to 200 young,"Birds, geckos, spider wasps",,,,,,,,,,,,,,,,,,
558,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,Huskitas prefer a consistent daily routine with lots of activity.,,,"triangular, erect ears",,,,Omnivore,six puppies,,Huskita,,,,,BlackWhiteTanCream,Hair,,10-13 years,,,,,,high energy,,,,,,,,,,,,,,,,United States,,,,,,
559,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Due to the mix of genes, a Husky Jack‚Äôs coat may be a variety of colors including black, gray, white, red, sable, or mixed colors.",,,,,,,Omnivore,,,,,,,,GreyRedBlackWhiteLight-Brown,Hair,,11 to 16 years,40 pounds,,,,,"Social, energetic, and loyal",,,,,,,,,,,,,,,,,,,,,,
560,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Huskydoodles are known for their jumping abilities!,,,,,,,Omnivore,,,,,,,,GreyBlackWhite,Hair,,10-13years,60lbs,,,,,Affectionate and intelligent,,,,,,,,,,,,,,,,,,,,,,
561,Near Threatened,"('Africa', 'Asia', 'Europe')",Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Crocuta,Crocuta Crocuta,,,,,,,,,,Open savanna plains and grassland,Carnivore,3,Pack,,,,There are four different species!,,BrownBlackTan,Fur,37 mph,20-25 years,41-86kg (90-190lbs),,,,,,,Mammal,,,,,,,,"Wildebeest, Monkey, Birds",,,,,,,Wildebeest,,,,,
562,Vulnerable,"('Africa', 'Asia', 'Europe', 'North-America', 'South-America')",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,,,Kid,Herd,Can jump over 6 feet straight up from a standstill,"30,000 for alpine ibex","Poaching, habitat loss","Large, curved horns","Wild goat, steinbock, bouquetin",168 days,Cliffs and mountains,Herbivore,,,Ibex,,"Asia, Europe, Middle East, Africa",,,BrownGrey,Hair,,20 years,91 - 120 kg (200 - 270 lbs),3.9 ft,18 months,4 - 6 months,,,,Mammal,01-Ó¯ı,"Humans, big cats, wolves, eagles",0.69 - 1.09 m (27 - 43 inches),,,,,,,,,,,,,,,,,
563,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Oceania', 'South-America')",Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,,Threskiornithidae,,,,,,,,,,"Marshes, wetlands and swamps",Omnivore,,Flock,,,,"Found in swamps, marshes and wetlands!",,BrownGreyBlackWhite,Feathers,,8 - 15 years,0.3kg - 2kg (0.6lbs - 4lbs),,,,Rounded body and long neck and beak,,,Bird,,"Falcon, Hawks, Herons",50cm - 65cm (19.7in - 25in),80cm - 120cm (32in - 47in),,,2,"Fish, Crab, Insects",,,,,,,Fish,,,,,
564,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The first two Ibizan Hounds brought to the United States were Colonel and Mrs. Consuelo Seoane.,,,,,,,Omnivore,,,Ibizan Hound,,,"Intelligent, active and engaging by nature!",South,FawnRedWhite,Hair,,14 years,50 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,The Icelandic Sheepdog is the only dog breed entirely native to Iceland.,,,very bushy tail,,,,Omnivore,,,,,,,,GreyFawnRedBlackWhiteGoldTanCreamChocolate,Hair,21 mph,12-14 years,,,,,,"Playful, affectionate, and curious",,mammal,4-8 puppies,,,,,,,,,,,,,Iceland,,,,,,
566,Near Threatened,"('Central-America', 'South-America')",Animalia,Chordata,Reptilia,Squamata,Iguanidae,,,,,,Uses visual signals to communicate!,,,,,,Lowland tropical rainforest near water,Omnivore,3,Solitary,,,,Uses visual signals to communicate!,,BrownYellowGreen,Scales,21 mph,15-20 years,4-8kg (8.8-17.6lbs),,,,,,,Reptile,,"Hawk, Eagle, Snakes",,,,,,"Insects, Fruit, Leaves",,,,,,,Insects,,,,,
567,Not Evaluated,Ocean,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Oceaniidae,Turritopsis,Turritopsis dohrnii,Tiny sea creatures,,Colony,Excellent hitchhiker on long-trip cargo ships,Unknown,Predation,Regeneration ability,The Benjamin Button jellyfish,2-3 days,Temperate to tropical saltwater worldwide,Omnivore,,,"Immortal jellyfish, Benjamin Button jellyfish",1,,,,,Smooth,4.97 mph,Immortal,,0.18inches,,,,,,Medusuzoa,,"Larger jellyfish, sea anemones, tuna, sharks, swordfish, sea turtles, penguins",,,,,,,Salt,,,,,,"Plankton, fish eggs, larvae, brine shrimp",,,,,
568,Least Concern,Africa,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros Melampus,,,,,,,,,,Wooded savanna and dense bushland,Herbivore,1,Herd,,,,Able to jump over 10 feet high,,BrownWhiteTan,Fur,30 mph,12-15 years,37-75kg (81.6-165lbs),,,,,,,Mammal,,"Hyena, Lion, Crocodile",,,,,,"Grass, Seeds, Flowers",,,,,,,Grass,,,,,
569,Least Concern,"('Central-America', 'North-America', 'South-America')",Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Eacles,Eacles imperialis,,,," Since the imperial moth doesn‚Äôt eat, it does die shortly after it lays its eggs. Its lifespan is only about one week.",,,,,,"deciduous, mixed, and coniferous forests",Herbivore,,,,,,,univoltine,GreyYellowWhiteDark BrownOrangePurplePinkLight-Brown,Exoskeleton,,Approximately one week,,3.14-6.88 inches,,,,,,,,"Birds, mammals and insects",,3-7 inches,,,,,,,,,,,"oak, hickory, walnut, sycamore, basswood, maple, honey locust, chokecherry, sumac, sweet gum, sassafras, elm, beech, hornbeam, birch, alder, pine, spruce, hemlock, cedar, cypress, and juniper leaves",,,,,
570,Endangered,Asia,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus indicus,,,,,,,,,,Rainforest and tropical woodland,Herbivore,1,Herd,,,,Found throughout south-east Asia!,,BrownGreyBlack,Leather,27 mph,55 - 70 years,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",,,,Long trunk and large feet,,,Mammal,,"Human, Tiger",2m - 3m (7ft - 10ft),,,,,"Grass, Fruit, Roots",,,,,,,Grass,,,,,
571,Least Concern,Asia,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ratufa,Ratufa indica,"insects, bird eggs","pup, kit, kitten",Solitary/Pairs,Indian giant squirrels use their large tail to help them balance.,unknown,Deforestation,"vibrant colors, large size",Malabar Giant Squirrel,28-35 days,Tropical forest,Omnivore,,,Indian giant squirrel,1,South Asia,,,BrownRedBlackWhitePurple,Fur,32 mph,20 years,1.5kg-2 kg (3.3lbs-4.4 lbs),"Head & body 25.4cm-45.7cm (10in-18in), Tail 40.6cm-60.9cm (16in-24in)",2-4 years,6 months,,,,mammal,01-Ó¯ı,,,,,,,,,,,,,,,,,,,
572,Least Concern,"('Asia', 'Ocean')",Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funambulus,Funambulus Palmarum,,,,,,,,,,Thick forest and tropical jungles,Omnivore,3,Solitary,,,,Natively found in parts of India and Sri Lanka!,,BrownYellowTan,Fur,10 mph,2-4 years,100-120g (3.5-4.2oz),,,,,,,Mammal,,"Human, Snakes, Wildcats",,,,,,"Eggs, Fruit, Insects",,,,,,,Eggs,,,,,
573,Endangered,Asia,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Rhinoceros Unicornis,,,,,,,,,,"Tropical bushland, grassland and savannas",Herbivore,1,Solitary,,,,Also known as the one-horned rhino!,,BrownGreyBlack,Leather,30 mph,45-50 years,"2,200kg - 3,000kg (4,900lbs - 6,600lbs)",1.7m - 2m (5.6ft - 6.6ft),,,,,,Mammal,,"Human, Wild cats",,,,,,"Grass, Fruit, Berries, Leaves",,,,,,,Grass,,,,,
574,Vulnerable,Asia,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,Geochelone elegans,,,,Popular in the exotic pet trade!,,,,,,Dry scrub forest,Herbivore,,Solitary,,,,Popular in the exotic pet trade!,,BrownYellowBlackTanGreen,Scales,0.3 mph,30 - 80 years,1.3kg - 2.2kg (3lbs - 4.9lbs),20cm - 30cm (8in - 12in),,,"High domed, star patterned protective shell",,,Reptile,,"Birds, Reptiles, Humans",,,,,7,"Grasses, Fruits, Flowers",,,,,,,Grasses,,,,,
575,Endangered,Asia,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Corbetti,,,,,,,,,,Secluded mountainous forests,Carnivore,2,Solitary,,,,Now thought to be extinct in China!,,BlackWhiteOrange,Fur,60 mph,18 - 25 years,100kg - 195kg (221lbs - 430lbs),,,,,,,Mammal,,Human,,,,,,"Deer, Cattle, Wild Boar",,,,,,,Deer,,,,,
576,Endangered,Africa,Animalia,Chordata,Mammalia,Primates,Indriidae,Indri,Indri indri,"Fruits, Flowers, Leaves",Infant,Troop,The largest species of Lemur!,"10,000",Habitat loss,,Babakoto,4 - 5 months,Lowland rainforest,Herbivore,1,Diurnal,Indri,1,Eastern Madagascar,The largest species of Lemur!,Mammal,BrownGreyBlackWhite,Fur,20 mph,15 - 22 years,6kg - 9.5kg (13lbs - 21lbs),,8 - 9 years,8 months,"Black and white markings and loud, prolonged vocal calls",,,,,"Fossa, Hawks, Snakes",64cm - 72cm (25in - 28in),,,,,,,,,,,,,,,,,
577,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,,,Irish Setter,,,Can live for up to 16 years!,Gun Dog,,Hair,,16 years,32kg (70lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,An average 300 Irish Terrier puppies are born each year in the United States.,,,,,,,Omnivore,,,,,,,,RedCaramel,Hair,,11-13 years,27 lbs,,,,,"Intelligent, lively, dominant",,,,,,,,,,,,,,,,,,,,,,
579,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The only known canine with a purple hue.,,,"its smooth ""rat tail.""",,,,Omnivore,,,,,,,,BrownDark BrownChocolateBlack-Brown,Hair,,average 10-12 years.,,,,,,,,,4-12 puppies.,,,,,,,,,,,,,,,,,,,
580,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,,,Irish WolfHound,,,"Sweet-tempered, patient and thoughtful!",South,,Hair,,9 years,54kg (120lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Italian Greyhound is a miniature dog with a big motor and personality!,,,,,,,Omnivore,,,Italian Greyhound,,,,,GreyYellowFawnRedBlueBlackTanChocolate,Hair,,15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Critically Endangered,"('Central-America', 'North-America')",Animalia,Chordata,Aves,Piciformes,Picidae,Campephilus,Campephilus principalis,"Berries, nuts, seeds, and insects",,,The ivory-billed woodpecker can drill into wood with its sharp beak,Unknown,Deforestation,The ivory-colored bill,,,Forests and swamps,Omnivore,,,Ivory-Billed Woodpecker,1,United States and Cuba,,,RedBlackWhite,Feathers,,Around 20 years,450-570g,19-21 inches,,,,,,Bird,,"Raccoons, snakes, owls, crows, and hawks",,31in,2 weeks,,,,,,,Hollowed trees,5 weeks,,,,,,,
583,Least Concern,"('Africa', 'Asia', 'Central-America', 'Oceania', 'South-America')",Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Jacana Brisson,Jacanidae,"Insects, snails, worms, crabs, fish, mollusks, and seeds",,,The jacana has the ability to swim underwater,millions,habitat loss,The long legs and feet,Lilly trotters or lotus birds,,wetlands,Omnivore,,,jacana,8," Asia, Africa, Australia, and Central and South America",,,BrownYellowRedBlackWhiteGreen,,,,one to nine ounces,,,,,,,bird,,"Otters, turtles, crocodiles, snakes, birds of prey, and fish",six to 12 inches,20 inches,22-28 days,,3,,,,,floating islands,50-60 days,,,,,,,
584,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Intelligent, athletic and fearless!",,,,,,,Omnivore,,,Jack Russel,,,"Intelligent, athletic and fearless!",Terrier,,Hair,,12 - 14 years,15 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Jackabee has an excellent sense of smell.,,,,,,,Omnivore,,,,,,,,BrownWhiteTanCreamBeige,Hair,,12-16 years,30 lbs,,,,,"Friendly, intelligent, and hard-working",,,,,,,,,,,,,,,,,,,,,Saltwater,
586,Least Concern,"('Africa', 'Asia', 'Europe')",Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Aureus,,,,,,,,,,Grass plains and dry woodland,Carnivore,5,Pack,,,,Can maintain speeds of 16 km/h!,,BrownGreyWhiteTan,Fur,20 mph,8-15 years,6.8-11kg (15-24lbs),,,,,,,Mammal,,"Hyena, Leopard, Eagles",,,,,,"Antelope, Reptiles, Insects",,,,,,,Antelope,,,,,
